model,protocol,mae,rmse,r2,mape_pct,n_train,n_test,seed
MLP,R,10.813848815752506,14.951501772411337,0.8720119335286904,11.848725464405733,379,95,60
MLP,R,10.234788966473056,14.497631303633865,0.8698885013292545,11.539553669035575,379,95,61
MLP,R,9.88038634432349,13.57136825023553,0.8885146056288744,10.138330981252091,379,95,62
MLP,R,9.414604497302623,13.138408558578497,0.9182525134168158,9.760962715045855,379,95,63
MLP,R,9.040380556221029,12.863818683474207,0.8981623996719728,10.226929976633064,379,95,64
MLP,R,10.376738366619326,13.534524954099316,0.8862451272867645,11.211482187193983,379,95,65
MLP,R,8.496846588999484,12.675413847189871,0.918632503753897,9.425056554690258,379,95,66
MLP,R,9.177148873270117,13.0919733471805,0.8908308181913223,10.263189625477462,379,95,67
MLP,R,8.352991684073832,11.182535348341538,0.9189422624070084,9.304449711292499,379,95,68
MLP,R,10.318139874516882,13.627909729508719,0.9334529635316157,10.664786078962354,379,95,69
MLP,R,8.967597487911032,13.543878834110275,0.9023387076316975,9.421887579864615,379,95,70
MLP,R,10.440823550791219,13.98350379068739,0.8865142875424593,10.869550299837922,379,95,71
MLP,R,9.442716894751777,12.25817784614809,0.9132785741380245,10.200849418380415,379,95,72
MLP,R,9.628096235336765,13.050824327823346,0.9137259818101682,10.577399203085395,379,95,73
MLP,R,10.220744751681927,12.575883845791704,0.8640247322742183,11.773885624224842,379,95,74
MLP,R,9.847973148682913,13.229690680485053,0.8645245874965033,11.015824734401745,379,95,75
MLP,R,10.884684104799174,14.384887149769687,0.9180283673859465,10.594081969856163,379,95,76
MLP,R,9.570287612061165,13.196444722004085,0.9034353652961044,10.333571830034828,379,95,77
MLP,R,9.294789217042448,12.578687220707918,0.9227103869931002,10.101215587182963,379,95,78
MLP,R,10.034522572853932,13.683059533791914,0.8785827101450384,11.66547648591407,379,95,79
MLP,R,11.310203223267258,15.440357203217953,0.8983886637704739,11.26695497854526,379,95,80
MLP,R,10.333501952419999,13.514930292506692,0.8843443630003286,11.134704441841453,379,95,81
MLP,R,10.727281566667928,15.464536192157649,0.8475022289464657,11.051786558059016,379,95,82
MLP,R,10.55449263327311,14.836881844257839,0.8567749387577459,11.420060971752209,379,95,83
MLP,R,11.668703924154347,15.746993810174928,0.8121098722092462,11.901893609148663,379,95,84
MLP,R,9.50716323550167,11.783321257482699,0.9148941185649344,10.863128019831082,379,95,85
