seed,mae,rmse,r2,mape_pct,n_train_geom,n_test_geom,n_test_seen_geom_samples,sample_overlap_frac,n_test_geom_seen,geometry_overlap_frac
80,9.483019312680392,14.564841474496346,0.9095853094593778,8.207106565135872,34,32,94,0.9894736842105263,31,0.96875
81,8.47778716439717,13.2153899451908,0.8894142546228321,8.338504951008144,34,30,94,0.9894736842105263,29,0.9666666666666667
82,8.226362335056233,13.104281522221982,0.8904994938882268,7.821808547640768,35,30,95,1.0,30,1.0
83,7.503049113113454,9.926440145109732,0.9358907351549085,8.24512817785774,33,29,93,0.9789473684210527,27,0.9310344827586207
84,9.25651481644828,14.061710583072596,0.8501747681564145,8.882813427972035,35,32,95,1.0,32,1.0
85,8.599682094777929,13.183649470092789,0.8934642341745068,8.164920101158527,34,31,94,0.9894736842105263,30,0.967741935483871
86,7.954277325895866,11.758050524685729,0.9300431928820077,7.75490150406009,34,27,94,0.9894736842105263,26,0.9629629629629629
87,9.534149371919405,13.602539836443484,0.9174180215232192,8.978155962139024,35,30,95,1.0,30,1.0
88,7.445803178916071,11.111798643538007,0.9323874515066443,7.0829545291682106,34,31,94,0.9894736842105263,30,0.967741935483871
89,8.439532595480065,12.17250574777943,0.909504793347792,8.682895495421588,34,32,94,0.9894736842105263,31,0.96875
90,7.112544018501371,11.745874214285354,0.8882502473824445,7.901010424847099,34,31,94,0.9894736842105263,30,0.967741935483871
91,7.936961509251063,12.245524500834273,0.9116675037298954,7.872742935001212,35,30,95,1.0,30,1.0
92,9.045380115811538,12.9002774270427,0.8848809582925988,9.372731601862561,33,33,93,0.9789473684210527,31,0.9393939393939394
93,10.411290348260982,15.649032796322638,0.8776566036099772,9.222038638843816,32,34,92,0.968421052631579,31,0.9117647058823529
94,7.95432304306627,11.934685024225669,0.9187842695121335,8.123500314355653,35,31,95,1.0,31,1.0
95,8.070651077540973,11.413174567309765,0.9268158435753623,7.889129502601628,35,29,95,1.0,29,1.0
96,8.157869924151477,11.877507981856485,0.9209207397963564,8.351440773043906,35,31,95,1.0,31,1.0
97,8.74771145893854,13.332619867075248,0.91720853053815,8.674272908288547,35,29,95,1.0,29,1.0
98,7.398693902744847,10.859846649962863,0.9293900707752756,7.790105312696475,34,31,94,0.9894736842105263,30,0.967741935483871
99,7.646956135120829,10.794191739839295,0.9419437521914726,7.74830795151849,34,32,94,0.9894736842105263,31,0.96875
