mae,rmse,r2,mape_pct,n_train,n_test,seed,n_test_geom,n_train_geom,held_out_geometries
12.241494850740082,17.50701121954976,0.8631989574148793,10.886384626172928,379,95,59,9,26,G0004|G0010|G0013|G0015|G0017|G0020|G0021|G0028|G0035
11.608324820342812,16.50496063823558,0.8735798689272294,10.268748928686247,379,95,60,10,25,G0004|G0010|G0013|G0015|G0017|G0024|G0027|G0029|G0034|G0035
11.932079374717908,16.72583176445401,0.862140038258858,11.124539032306973,379,95,61,8,27,G0004|G0010|G0015|G0021|G0024|G0026|G0030|G0033
16.75696522873071,22.268351391132704,0.7051863594581214,17.324310541023742,379,95,62,9,26,G0004|G0011|G0013|G0018|G0019|G0024|G0026|G0027|G0034
13.624230024990247,18.356728710737872,0.8033143077334058,12.40937795531302,379,95,63,9,26,G0004|G0012|G0015|G0020|G0022|G0026|G0027|G0030|G0034
12.898175041228011,17.271099364990345,0.8525158158439308,11.345015869748941,379,95,64,7,28,G0004|G0019|G0022|G0027|G0029|G0031|G0035
10.546682812012355,15.391289526127101,0.8638128570254595,10.804422978098449,379,95,65,9,26,G0005|G0006|G0009|G0013|G0014|G0020|G0024|G0025|G0026
8.58047159941232,11.939414535462717,0.8985171318294257,9.298136539224162,379,95,66,9,26,G0005|G0006|G0009|G0017|G0023|G0026|G0028|G0031|G0034
8.075138849930697,11.153381400588279,0.9324938700731111,8.383675977018596,379,95,67,9,26,G0005|G0006|G0013|G0019|G0026|G0028|G0029|G0033|G0034
10.406470961613426,15.379106661961288,0.838054577485226,10.863207282846385,379,95,68,9,26,G0005|G0008|G0013|G0014|G0017|G0025|G0028|G0029|G0032
12.000033923081183,16.428890055479176,0.8689068011521324,12.19661884066922,379,95,69,9,26,G0005|G0009|G0010|G0019|G0022|G0026|G0027|G0033|G0034
12.045139346515318,16.624653743086757,0.8611064559130807,11.132484564279697,379,95,70,9,26,G0005|G0009|G0014|G0017|G0021|G0024|G0026|G0029|G0030
10.978434056654171,15.397216378622623,0.8415626520438911,13.11423407499154,379,95,71,8,27,G0005|G0010|G0011|G0014|G0022|G0025|G0028|G0033
12.375658882529766,17.267454743548114,0.8534762008028047,11.22994158056036,379,95,72,11,24,G0005|G0010|G0012|G0013|G0014|G0015|G0026|G0028|G0032|G0033|G0034
16.307626343957086,20.956355628799447,0.8112739727397544,15.422699876207979,379,95,73,9,26,G0005|G0011|G0012|G0015|G0017|G0019|G0026|G0027|G0035
14.314067304547766,18.503846657012218,0.801560708227693,16.11728344788965,379,95,74,10,25,G0005|G0011|G0014|G0015|G0017|G0019|G0022|G0027|G0030|G0034
15.679433909123999,20.660022547877837,0.8068861223641743,16.14064601804488,379,95,75,8,27,G0005|G0011|G0014|G0019|G0020|G0021|G0022|G0027
12.460557077865202,15.831844694495201,0.8894777831563089,12.288325937679318,379,95,76,8,27,G0005|G0013|G0015|G0019|G0021|G0023|G0024|G0033
8.988772123927637,13.257571549650061,0.8622532615617788,10.260863838427326,379,95,77,7,28,G0006|G0007|G0010|G0013|G0025|G0028|G0033
10.896429266802416,15.946469023683377,0.8454637751905374,10.137021164893593,379,95,78,9,26,G0006|G0009|G0010|G0014|G0020|G0024|G0026|G0027|G0030
13.088930769222948,17.75785698848813,0.7833118810261325,13.238021981345666,379,95,79,10,25,G0006|G0009|G0011|G0013|G0014|G0020|G0026|G0027|G0030|G0034
10.016691974275604,13.724498631631363,0.8929821480388284,9.204880755185316,379,95,80,10,25,G0006|G0009|G0013|G0014|G0017|G0020|G0024|G0026|G0031|G0033
15.191891174516252,21.326301415740645,0.750217971637483,13.432115013524045,379,95,81,9,26,G0006|G0010|G0012|G0014|G0018|G0022|G0025|G0026|G0035
12.890795498968986,17.52313572833069,0.7950988811027856,12.664827472284207,379,95,82,9,26,G0006|G0011|G0014|G0018|G0025|G0026|G0029|G0032|G0034
10.290834310067083,15.299213472246766,0.7624321529424218,12.384416691287612,379,95,83,7,28,G0007|G0008|G0011|G0013|G0014|G0027|G0028
8.94855441741571,13.86580926431511,0.8918745622784692,8.009848681445607,379,95,84,10,25,G0007|G0014|G0017|G0020|G0026|G0027|G0028|G0031|G0033|G0034
11.61920904092098,16.744488076097024,0.8611171764272233,10.203489279870098,379,95,85,8,27,G0007|G0014|G0020|G0022|G0026|G0028|G0032|G0035
13.922188536369017,19.316010627044758,0.8156726817141344,12.803641889637408,379,95,86,7,28,G0008|G0010|G0012|G0019|G0020|G0030|G0035
13.565325503206646,18.627358279352396,0.7991678156711431,12.251744081261077,379,95,87,9,26,G0008|G0012|G0013|G0015|G0027|G0030|G0031|G0032|G0034
12.712317374964192,16.162702019648545,0.8569406697269208,12.901150968368016,379,95,88,8,27,G0008|G0019|G0022|G0023|G0025|G0027|G0033|G0034
14.231477624584118,19.432888938792825,0.7729703642417779,12.365645600061532,379,95,89,9,26,G0009|G0010|G0017|G0023|G0025|G0027|G0030|G0032|G0035
16.2152266241913,20.31271315315211,0.7527981613329359,14.725822599190813,379,95,90,11,24,G0009|G0012|G0013|G0014|G0017|G0019|G0025|G0027|G0031|G0034|G0035
15.996533257847386,20.233317014737604,0.7764672704033,13.50269707710495,379,95,91,10,25,G0009|G0012|G0013|G0017|G0019|G0028|G0032|G0033|G0034|G0035
13.33191868849625,18.101425210262125,0.7739560816817992,12.938350575465021,379,95,92,7,28,G0009|G0018|G0020|G0023|G0025|G0028|G0033
15.352073719720947,22.233610741380065,0.7430022052564347,11.985251749160598,379,95,93,11,24,G0010|G0012|G0013|G0014|G0017|G0018|G0020|G0021|G0024|G0026|G0027
16.090012628446367,22.084578310385005,0.7593342601586996,13.172637111586011,379,95,94,10,25,G0010|G0014|G0020|G0021|G0023|G0027|G0028|G0030|G0034|G0035
17.209501817181764,21.84969360191077,0.7288144439722856,15.494694560265227,379,95,95,10,25,G0011|G0014|G0017|G0018|G0021|G0024|G0026|G0027|G0030|G0032
14.06782600510957,18.790705498423,0.8232252029898844,12.799885729578502,379,95,96,7,28,G0011|G0020|G0021|G0022|G0024|G0028|G0032
13.300332523932457,17.662761137631293,0.7974015786864088,11.535217996016156,379,95,97,10,25,G0012|G0014|G0017|G0018|G0024|G0026|G0027|G0029|G0030|G0033
10.239806431345862,13.267501299202388,0.883620390847518,9.723572657357115,379,95,98,8,27,G0013|G0018|G0020|G0023|G0026|G0028|G0029|G0031
14.494278788535928,20.732985198515028,0.8245149372122271,12.635016321767228,379,95,99,8,27,G0014|G0015|G0016|G0021|G0027|G0031|G0034|G0035
