protocol,split_id,n_test,mae_xgb_um,mae_rf_um,delta_mae_um,mape_xgb_pct,mape_rf_pct,winner
R,66,95,7.4850281680124917,8.4987822644080282,-1.0137540963955365,7.5154497514258098,8.6224575822436123,XGB
R,67,95,6.6011358550075823,6.4449419329801705,0.15619392202741178,6.7261270239076216,7.386486948477744,RF
R,68,95,7.2212724259782783,8.2891623408989297,-1.0678899149206513,8.2016929712830073,9.4378120458266697,XGB
R,69,95,9.626575588689871,9.9424565215663012,-0.31588093287643026,8.9548418716223139,9.5052591005846949,XGB
R,70,95,7.9398240300003327,8.4411040302491553,-0.50128000024882269,7.4667052916764654,8.9282392780208468,XGB
R,71,95,8.7298669025395519,9.4528296611754374,-0.72296275863588555,8.135177809176632,9.0130278162556792,XGB
R,72,95,8.4801301909088451,9.0640790064267289,-0.5839488155178838,8.2991061801329629,8.701981843571831,XGB
R,73,95,7.7169682001813591,8.050754301016978,-0.33378610083561888,7.898836041495529,8.943019859160648,XGB
R,74,95,7.3513181967375338,8.7492030463168504,-1.3978848495793166,7.5962403207626279,9.2794265648590457,XGB
R,75,95,7.7884944890859131,7.8708700383888788,-0.082375549302965645,8.2887054010910983,8.170107269458736,XGB
R,76,95,9.8720316211281229,10.758203310115837,-0.88617168898771403,8.2131342541917967,9.435914839787678,XGB
R,77,95,7.7622852100764916,7.7390520894046091,0.023233120671882546,7.5856388454687309,8.1563212001161585,RF
R,78,95,7.9822980112886492,8.1738763691948773,-0.19157835790622801,8.0184350090202354,8.4269149671790462,XGB
R,79,95,7.3880274854610626,8.5184366821462181,-1.1304091966851555,7.6228713213645927,8.9069060468061227,XGB
R,80,95,9.4830193126803923,10.072639873976918,-0.58962056129652574,8.2071065651358719,9.2576896471865684,XGB
R,81,95,8.4777871643971707,8.7427706638757048,-0.26498349947853406,8.3385049510081437,8.9829730537754493,XGB
R,82,95,8.2263623350562316,9.0882144082556753,-0.86185207319944368,7.821808547640769,9.1812877041082821,XGB
R,83,95,7.5030491131134545,7.7326730743250529,-0.22962396121159845,8.2451281778577421,8.4931481427120321,XGB
R,84,95,9.2565148164482771,10.192163434309897,-0.93564861786162012,8.8828134279720334,10.04741266903029,XGB
R,85,95,8.5996820947779291,7.9506904962426832,0.64899159853524591,8.1649201011585255,8.18778791548573,RF
R,86,95,7.9542773258958634,7.5311483289655277,0.42312899693033579,7.7549015040600917,8.1493512042025458,RF
R,87,95,9.5341493719194066,9.1403907521349232,0.39375861978448334,8.9781559621390237,9.2819324295438594,RF
R,88,95,7.445803178916071,9.4725552133579676,-2.0267520344418966,7.0829545291682114,9.0530927194252833,XGB
R,89,95,8.4395325954800633,8.9864315000876864,-0.54689890460762314,8.6828954954215884,9.2845223380237059,XGB
R,90,95,7.1125440185013735,7.4117620725927065,-0.29921805409133295,7.9010104248470991,8.3857779887913928,XGB
R,91,95,7.9369615092510637,8.9234532925156476,-0.98649178326458387,7.8727429350012104,9.1625905703575743,XGB
R,92,95,9.0453801158115379,8.3217873282407542,0.72359278757078371,9.3727316018625633,8.7930725790411,RF
R,93,95,10.411290348260982,9.8739274014159299,0.53736294684505204,9.2220386388438129,9.2988361719979267,RF
R,94,95,7.9543230430662692,8.5691339204467702,-0.614810877380501,8.1235003143556508,8.3927371914656241,XGB
R,95,95,8.0706510775409726,8.6997473036340729,-0.62909622609310034,7.8891295026016284,8.846228491363636,XGB
R,96,95,8.1578699241514752,8.7282802893140641,-0.57041036516258892,8.35144077304391,9.3106807670668754,XGB
R,97,95,8.7477114589385376,9.6803775075010012,-0.9326660485624636,8.6742729082885486,9.4331791304159491,XGB
R,98,95,7.3986939027448466,7.9171165999965813,-0.51842269725173473,7.790105312696479,8.4403784133235646,XGB
R,99,95,7.6469561351208286,8.3990379018789838,-0.75208176675815519,7.7483079515184903,8.5430316244636568,XGB
G,0,95,11.77119268639137,10.692670537311916,1.0785221490794541,12.390566998755769,10.755579522467929,RF
G,1,95,8.2722539250728371,7.1285519183873287,1.1437020066855084,11.088113134607461,9.2494904595340426,RF
G,2,95,8.2805346767360035,7.2125291810270769,1.0680054957089267,11.603372107682516,10.042359053318195,RF
G,3,95,10.345204533502175,9.1956957990141426,1.1495087344880321,11.109960389006938,9.4732908153076725,RF
G,4,95,13.903567712372238,12.406468146839616,1.497099565532622,13.475219459950603,11.857523209972106,RF
G,5,95,9.8200723584711582,8.807020572097473,1.0130517863736852,10.899816758840373,9.6247566067767014,RF
G,6,95,11.263952923457897,10.988398394439901,0.27555452901799526,11.22880266680057,11.009619118473308,RF
G,7,95,10.851174394930343,9.9605801548663973,0.89059424006394572,10.816491071255756,9.7603713425819887,RF
G,8,95,15.74389912463003,14.639796683254213,1.1041024413758169,15.075627162161366,13.606764108647093,RF
G,9,95,11.413129429884348,10.068028729208816,1.3451007006755322,10.610173493608432,9.0231734416987539,RF
G,10,95,10.901088413554652,10.973548469698803,-0.072460056144151963,11.827323283146324,11.955303383987827,XGB
G,11,95,9.0416056304536259,9.3823390794665418,-0.34073344901291591,9.3201975078418613,9.1314380084262421,XGB
